variant,week,year,reports
Delta,1,2021.0192307692307,9
Delta,2,2021.0384615384614,24
Delta,3,2021.0576923076924,4
Delta,4,2021.076923076923,2
Delta,5,2021.0961538461538,3
Delta,6,2021.1153846153845,4
Delta,7,2021.1346153846155,1
Delta,8,2021.1538461538462,4
Delta,9,2021.173076923077,3
Delta,10,2021.1923076923076,4
Delta,11,2021.2115384615386,6
Delta,12,2021.2307692307693,9
Delta,13,2021.25,42
Delta,14,2021.2692307692307,73
Delta,15,2021.2884615384614,169
Delta,16,2021.3076923076924,351
Delta,17,2021.326923076923,503
Delta,18,2021.3461538461538,618
Delta,19,2021.3653846153845,665
Delta,20,2021.3846153846155,874
Delta,21,2021.4038461538462,1128
Delta,22,2021.423076923077,1827
Delta,23,2021.4423076923076,3172
Delta,24,2021.4615384615386,4585
Delta,25,2021.4807692307693,7622
Delta,26,2021.5,12209
Delta,27,2021.5192307692307,21025
Delta,28,2021.5384615384614,32290
Delta,29,2021.5576923076924,50556
Delta,30,2021.576923076923,73128
Delta,31,2021.5961538461538,78581
Delta,32,2021.6153846153845,66570
Delta,33,2021.6346153846155,64942
Delta,34,2021.6538461538462,66920
Delta,35,2021.673076923077,75583
Delta,36,2021.6923076923076,72214
Delta,37,2021.7115384615386,65567
Delta,38,2021.7307692307693,57336
Delta,39,2021.75,58831
Delta,40,2021.7692307692307,58448
Delta,41,2021.7884615384614,52204
Delta,42,2021.8076923076924,53623
Delta,43,2021.826923076923,55052
Delta,44,2021.8461538461538,61053
Delta,45,2021.8653846153845,62395
Delta,46,2021.8846153846155,58470
Delta,47,2021.9038461538462,47715
Delta,48,2021.923076923077,66197
Delta,49,2021.9423076923076,57368
Delta,50,2021.9615384615386,42582
Delta,51,2021.9807692307693,18272
Delta,52,2022.0,9366
Delta,53,2022.0192307692307,4044
Delta,54,2022.0384615384614,1654
Delta,55,2022.0576923076924,742
Delta,56,2022.076923076923,367
Delta,57,2022.0961538461538,343
Delta,58,2022.1153846153845,80
Delta,59,2022.1346153846155,44
Delta,60,2022.1538461538462,38
Delta,61,2022.173076923077,17
Delta,62,2022.1923076923076,12
Delta,63,2022.2115384615386,7
Delta,64,2022.2307692307693,2
Omicron,1,2021.0192307692307,13
Omicron,2,2021.0384615384614,4
Omicron,3,2021.0576923076924,2
Omicron,4,2021.076923076923,4
Omicron,7,2021.1346153846155,1
Omicron,8,2021.1538461538462,1
Omicron,10,2021.1923076923076,3
Omicron,27,2021.5192307692307,1
Omicron,30,2021.576923076923,1
Omicron,34,2021.6538461538462,2
Omicron,39,2021.75,21
Omicron,41,2021.7884615384614,5
Omicron,42,2021.8076923076924,1
Omicron,43,2021.826923076923,5
Omicron,44,2021.8461538461538,1
Omicron,45,2021.8653846153845,2
Omicron,46,2021.8846153846155,3
Omicron,47,2021.9038461538462,65
Omicron,48,2021.923076923077,1645
Omicron,49,2021.9423076923076,4166
Omicron,50,2021.9615384615386,29500
Omicron,51,2021.9807692307693,61879
Omicron,52,2022.0,90001
Omicron,53,2022.0192307692307,94070
Omicron,54,2022.0384615384614,90810
Omicron,55,2022.0576923076924,88840
Omicron,56,2022.076923076923,77572
Omicron,57,2022.0961538461538,66912
Omicron,58,2022.1153846153845,61723
Omicron,59,2022.1346153846155,44300
Omicron,60,2022.1538461538462,30194
Omicron,61,2022.173076923077,19054
Omicron,62,2022.1923076923076,14159
Omicron,63,2022.2115384615386,12693
Omicron,64,2022.2307692307693,5035
Omicron,65,2022.25,326
