Date,NASDAQ_Index,Gold_Price
2012/3/1,3091.570068,1721.1
2012/4/1,3046.360107,1677.5
2012/5/1,2827.340088,1653.4
2012/6/1,2935.050049,1612.2
2012/7/1,2939.52002,1597.2
2012/8/1,3066.959961,1587.4
2012/9/1,3116.22998,1692.9
2012/10/1,2977.22998,1772.7
2012/11/1,3010.23999,1674.1
2012/12/1,3019.51001,1719.6
2013/1/1,3142.129883,1687.9
2013/2/1,3160.189941,1669.4
2013/3/1,3267.52002,1571.9
2013/4/1,3328.790039,1575.1
2013/5/1,3455.909912,1467.7
2013/6/1,3403.25,1411.7
2013/7/1,3626.370117,1243.6
2013/8/1,3589.870117,1310.6
2013/9/1,3771.47998,1412
2013/10/1,3919.709961,1320.6
2013/11/1,4059.889893,1314.6
2013/12/1,4176.589844,1222.3
2014/1/1,4103.879883,1225
2014/2/1,4308.120117,1260.4
2014/3/1,4198.990234,1350.1
2014/4/1,4114.560059,1290.5
2014/5/1,4242.620117,1302.6
2014/6/1,4408.180176,1243.7
2014/7/1,4369.77002,1330.7
2014/8/1,4580.27002,1287.7
2014/9/1,4493.390137,1263.7
2014/10/1,4630.740234,1214.2
2014/11/1,4791.629883,1169.4
2014/12/1,4736.049805,1218
2015/1/1,4635.240234,1186
2015/2/1,4963.529785,1276.2
2015/3/1,4900.879883,1207.7
2015/4/1,4941.419922,1200.9
2015/5/1,5070.029785,1186.8
2015/6/1,4986.870117,1194.1
2015/7/1,5128.279785,1163
2015/8/1,4776.509766,1089.4
2015/9/1,4620.160156,1132.5
2015/10/1,5053.75,1137.1
2015/11/1,5108.669922,1135.8
2015/12/1,5007.410156,1063.8
2016/1/1,4613.950195,1075.1
2016/2/1,4557.950195,1127.9
2016/3/1,4869.850098,1230.3
2016/4/1,4775.359863,1218
2016/5/1,4948.049805,1294.7
2016/6/1,4842.669922,1209.8
2016/7/1,5162.129883,1356.4
2016/8/1,5213.220215,1364.4
2016/9/1,5312,1322.1
2016/10/1,5189.140137,1309
2016/11/1,5323.680176,1306.8
2016/12/1,5383.120117,1166.9
2017/1/1,5614.790039,1160.4
2017/2/1,5825.439941,1205.6
2017/3/1,5911.740234,1248.9
2017/4/1,6047.609863,1250.8
2017/5/1,6198.52002,1255.1
2017/6/1,6140.419922,1276.8
2017/7/1,6348.120117,1217.9
2017/8/1,6428.660156,1271.8
2017/9/1,6495.959961,1339.2
2017/10/1,6727.669922,1272.7
2017/11/1,6873.970215,1274.9
2017/12/1,6903.390137,1278.8
2018/1/1,7411.47998,1313.7
2018/2/1,7273.009766,1344.3
2018/3/1,7063.450195,1302.9
2018/4/1,7066.27002,1342.1
2018/5/1,7442.120117,1302.6
2018/6/1,7510.299805,1293.1
2018/7/1,7671.790039,1239.8
2018/8/1,8109.540039,1210.6
2018/9/1,8046.350098,1192.7
2018/10/1,7305.899902,1202.4
2018/11/1,7330.540039,1230.9
2018/12/1,6635.279785,1233.9
2019/1/1,7281.740234,1281
2019/2/1,7532.529785,1316.9
2019/3/1,7729.319824,1296.4
2019/4/1,8095.390137,1290
2019/5/1,7453.149902,1269.7
2019/6/1,8006.240234,1322.7
2019/7/1,8175.419922,1404.6
2019/8/1,7962.879883,1445.6
2019/9/1,7999.339844,1545.9
2019/10/1,8292.360352,1501
2019/11/1,8665.469727,1508
2019/12/1,8972.599609,1462.3
2020/1/1,9150.94043,1524.5
2020/2/1,8567.370117,1577.2
2020/3/1,7700.100098,1592.3
2020/4/1,8889.549805,1625.7
2020/5/1,9489.870117,1706.9
2020/6/1,10058.76953,1725.2
2020/7/1,10745.26953,1784
2020/8/1,11775.45996,1966
2020/9/1,11167.50977,1934.4
2020/10/1,10911.58984,1900.2
2020/11/1,12198.74023,1890.4
2020/12/1,12888.28027,1814.1
2021/1/1,13070.69043,1944.7
2021/2/1,13192.34961,1860.8
2021/3/1,13246.87012,1722.5
2021/4/1,13962.67969,1727
2021/5/1,13748.74023,1791.4
2021/6/1,14503.9502,1907.5
2021/7/1,14672.67969,1782.6
2021/8/1,15259.24023,1818.1
2021/9/1,14448.58008,1808.7
2021/10/1,15498.38965,1766.2
2021/11/1,15537.69043,1788.7
2021/12/1,15644.96973,1781.6
2022/1/1,14239.87988,1799.4
